book_title,isbn,description
The One World Schoolhouse: Education Reimagined,1619697777,"A free, world-class education for anyone, anywhere: this is the goal of the Khan Academy, a passion project that grew from an ex-engineer and hedge funder's online tutoring sessions with his niece, who was struggling with algebra, into a worldwide phenomenon. Today millions of students, parents, and teachers use the Khan Academy's free videos and software, which have expanded to encompass nearly every conceivable subject; and Academy techniques are being employed with exciting results in a growing number of classrooms around the globe.<br><br>Like many innovators, Khan rethinks existing assumptions and imagines what education could be if freed from them. And his core idea-liberating teachers from lecturing and state-mandated calendars and opening up class time for truly human interaction-has become his life's passion. Schools seek his advice about connecting to students in a digital age, and people of all ages and backgrounds flock to the site to utilize this fresh approach to learning.<br><br>In THE ONE WORLD SCHOOLHOUSE, Khan presents his radical vision for the future of education, as well as his own remarkable story, for the first time. In these pages, you will discover, among other things:<br><br>* How both students and teachers are being bound by a broken top-down model invented in Prussia two centuries ago<br>* Why technology will make classrooms more human and teachers more important<br>* How and why we can afford to pay educators the same as other professionals<br>* How we can bring creativity and true human interactivity back to learning<br>* Why we should be very optimistic about the future of learning.<br><br>Parents and politicians routinely bemoan the state of our education system. Statistics suggest we've fallen behind the rest of the world in literacy, math, and sciences. With a shrewd reading of history, Khan explains how this crisis presented itself, and why a return to ""mastery learning,"" abandoned in the twentieth century and ingeniously revived by tools like the Khan Academy, could offer the best opportunity to level the playing field, and to give all of our children a world-class education now.<br><br>More than just a solution, THE ONE WORLD SCHOOLHOUSE serves as a call for free, universal, global education, and an explanation of how Khan's simple yet revolutionary thinking can help achieve this inspiring goal."
The Power of Habit: Why We Do What We Do in Life and Business,1400069289,"A young woman walks into a laboratory. Over the past two years, she has transformed almost every aspect of her life. She has quit smoking, run a marathon, and been promoted at work. The patterns inside her brain, neurologists discover, have fundamentally changed.<br> <br>Marketers at Procter &amp; Gamble study videos of people making their beds. They are desperately trying to figure out how to sell a new product called Febreze, on track to be one of the biggest flops in company history. Suddenly, one of them detects a nearly imperceptible pattern—and with a slight shift in advertising, Febreze goes on to earn a billion dollars a year.<br> <br>An untested CEO takes over one of the largest companies in America. His first order of business is attacking a single pattern among his employees—how they approach worker safety—and soon the firm, Alcoa, becomes the top performer in the Dow Jones.<br> <br>What do all these people have in common? They achieved success by focusing on the patterns that shape every aspect of our lives. <br> <br>They succeeded by transforming habits.<br> <br>In <em>The Power of Habit, </em>award-winning <em>New York Times</em> business reporter Charles Duhigg takes us to the thrilling edge of scientific discoveries that explain why habits exist and how they can be changed. With penetrating intelligence and an ability to distill vast amounts of information into engrossing narratives, Duhigg brings to life a whole new understanding of human nature and its potential for transformation. <br> <br>Along the way we learn why some people and companies struggle to change, despite years of trying, while others seem to remake themselves overnight. We visit laboratories where neuroscientists explore how habits work and where, exactly, they reside in our brains. We discover how the right habits were crucial to the success of Olympic swimmer Michael Phelps, Starbucks CEO Howard Schultz, and civil-rights hero Martin Luther King, Jr. We go inside Procter &amp; Gamble, Target superstores, Rick Warren’s Saddleback Church, NFL locker rooms, and the nation’s largest hospitals and see how implementing so-called keystone habits can earn billions and mean the difference between failure and success, life and death.<br> <br>At its core, <em>The Power of Habit</em> contains an exhilarating argument: The key to exercising regularly, losing weight, raising exceptional children, becoming more productive, building revolutionary companies and social movements, and achieving success is understanding how habits work. <br> <br>Habits aren’t destiny. As Charles Duhigg shows, by harnessing this new science, we can transform our businesses, our communities, and our lives."
Signal to Noise,1878574434,
Flow: The Psychology of Optimal Experience,0060920432,"The world's foremost producer of personal development and motivational audio programs gives you the tools to unleash the secret of peak performance.<br><br>Remember the last time that you were so focused, so motivated that you felt at the absolute top of your form -- alert, energized and free of self-consciousness? Chances are you were experiencing flow -- an almost euphoric state of concentration and complete involvement.<br><br>Now, esteemed psychologist Mihaly Csikszentmihalyi reveals how you can achieve this state of mind at will -- and turn everyday experience into a moment by moment opportunity for joy and self-fulfillment. Drawing on over 30 years of breakthrough research into what makes people satisfied, he explains the key elements of the flow experience"
The Handmaid's Tale,038549081X,"Offred is a Handmaid in the Republic of Gilead. She may leave the home of the Commander and his wife once a day to walk to food markets whose signs are now pictures instead of words because women are no longer allowed to read. She must lie on her back once a month and pray that the Commander makes her pregnant, because in an age of declining births, Offred and the other Handmaids are valued only if their ovaries are viable. Offred can remember the years before, when she lived and made love with her husband, Luke; when she played with and protected her daughter; when she had a job, money of her own, and access to knowledge. But all of that is gone now..."
How the Universe Got Its Spots: Diary of a Finite Time in a Finite Space,1400032725,"<em>Is the universe infinite or just really big?</em> With this question, the gifted young cosmologist Janna Levin not only announces the central theme of her intriguing and controversial new book but establishes herself as one of the most direct and unorthodox voices in contemporary science. For even as she sets out to determine how big “really big” may be, Levin gives us an intimate look at the day-to-day life of a globe-trotting physicist, complete with jet lag and romantic disturbances.<br><br>Nimbly synthesizing geometry, topology, chaos and string theories, Levin shows how the pattern of hot and cold spots left over from the big bang may one day reveal the size and shape of the cosmos. She does so with such originality, lucidity—and even poetry—that <strong>How the Universe Got Its Spots</strong> becomes a thrilling and deeply personal communication between a scientist and the lay reader."
"A Game of Thrones (A Song of Ice and Fire, #1)",0553588486,"Summers span decades. Winter can last a lifetime. And the struggle for the Iron Throne has begun.<br><br>As Warden of the north, Lord Eddard Stark counts it a curse when King Robert bestows on him the office of the Hand. His honour weighs him down at court where a true man does what he will, not what he must … and a dead enemy is a thing of beauty.<br><br>The old gods have no power in the south, Stark’s family is split and there is treachery at court. Worse, the vengeance-mad heir of the deposed Dragon King has grown to maturity in exile in the Free Cities. He claims the Iron Throne."
Moonwalking with Einstein: The Art and Science of Remembering Everything,159420229X,"<strong>Foer's unlikely journey from chronically forgetful science journalist to U.S. Memory Champion frames a revelatory exploration of the vast, hidden impact of memory on every aspect of our lives. </strong> <br><br> On average, people squander forty days annually compensating for things they've forgotten. Joshua Foer used to be one of those people. But after a year of memory training, he found himself in the finals of the U.S. Memory Championship. Even more important, Foer found a vital truth we too often forget: In every way that matters, we are the sum of our memories. <br><br><em>Moonwalking with Einstein</em> draws on cutting-edge research, a surprising cultural history of memory, and venerable tricks of the mentalist's trade to transform our understanding of human remembering. Under the tutelage of top ""mental athletes,"" he learns ancient techniques once employed by Cicero to memorize his speeches and by Medieval scholars to memorize entire books. Using methods that have been largely forgotten, Foer discovers that we can all dramatically improve our memories. <br><br> Immersing himself obsessively in a quirky subculture of competitive memorizers, Foer learns to apply techniques that call on imagination as much as determination--showing that memorization can be anything but rote. From the PAO system, which converts numbers into lurid images, to the memory palace, in which memories are stored in the rooms of imaginary structures, Foer's experience shows that the World Memory Championships are less a test of memory than of perseverance and creativity. <br><br> Foer takes his inquiry well beyond the arena of mental athletes-across the country and deep into his own mind. In San Diego, he meets an affable old man with one of the most severe case of amnesia on record, where he learns that memory is at once more elusive and more reliable than we might think. In Salt Lake City, he swaps secrets with a savant who claims to have memorized more than nine thousand books. At a high school in the South Bronx, he finds a history teacher using twenty- five-hundred-year-old memory techniques to give his students an edge in the state Regents exam. <br><br> At a time when electronic devices have all but rendered our individual memories obsolete, Foer's bid to resurrect the forgotten art of remembering becomes an urgent quest. <em>Moonwalking with Einstein</em> brings Joshua Foer to the apex of the U.S. Memory Championship and readers to a profound appreciation of a gift we all possess but that too often slips our minds."
Steal Like an Artist: 10 Things Nobody Told You About Being Creative,0761169253,"You don’t need to be a genius, you just need to be yourself. That’s the message from Austin Kleon, a young writer and artist who knows that creativity is everywhere, creativity is for everyone. A manifesto for the digital age, Steal Like an Artist is a guide whose positive message, graphic look and illustrations, exercises, and examples will put readers directly in touch with their artistic side."
Mastery,0670024961,"<strong>The eagerly anticipated new book from the author of the bestselling </strong><em><strong>The 48 Laws of Power</strong>
</em><br><br>What did Charles Darwin, middling schoolboy and underachieving second son, do to become one of the earliest and greatest naturalists the world has known? What were the similar choices made by Mozart and by Caesar Rodriguez, the U.S. Air Force’s last ace fighter pilot? In <em>Mastery</em>, Robert Greene’s fifth book, he mines the biographies of great historical figures for clues about gaining control over our own lives and destinies. Picking up where <em>The 48 Laws of Power</em> left off, Greene culls years of research and original interviews to blend historical anecdote and psychological insight, distilling the universal ingredients of the world’s masters.<br><br>Temple Grandin, Martha Graham, Henry Ford, Buckminster Fuller—all have lessons to offer about how the love for doing one thing exceptionally well can lead to mastery. Yet the secret, Greene maintains, is already in our heads. Debunking long-held cultural myths, he demonstrates just how we, as humans, are hardwired for achievement and supremacy. Fans of Greene’s earlier work and Malcolm Gladwell’s <em>Outliers</em> will eagerly devour this canny and erudite explanation of just what it takes to be great."
She Comes First: The Thinking Man's Guide to Pleasuring a Woman,0060538252,"As women everywhere will attest, when it comes to understanding female sexuality, most guys know more about what's under the hood of a car than under the hood of a clitoris. And while it seems that men have struggled valiantly since the dawn of time to find ways to reliably elicit the female orgasm, rare is the guy who has the modesty to ask: ""What do I do?"" Ironically, the answer has always been right there on the tip of his tongue.<br><br>Welcome to the world of <em>She Comes First,</em> where the mystery of female satisfaction is solved and the tongue is proven mightier than the sword. According to <strong>Ian Kerner</strong>, clinical sexologist and evangelist of the female orgasm, oral sex has long been deemed an optional aspect of foreplay, but, in fact, it's coreplay - simply the best way for leading a woman through the entire process of sexual response.<br><br>Fun, informative, and easy to read, <em>She Comes First</em> is a virtual encyclopedia of female pleasure, detailing dozens of tried-and-true techniques for consistently satisfying a woman and illustrated step-by-step instructions to ensure success. These simple methods represent a new era in sexual intimacy, one in which the exchange of pleasure occurs on a level playing field and fulfillment is mutual.<br><br><em>She Comes First</em> exuberantly offers a fresh new sexual philosophy that inspires every man to make a mantra of Rhett Butler's infamous line to Scarlett O'Hara, ""You should be kissed, and often, and by someone who knows how."""
"A Clash of Kings  (A Song of Ice and Fire, #2)",0553381695,"Alternate cover edition can be found <a href=""https://www.goodreads.com/book/show/6041689-a-clash-of-kings"">here</a>. <br><br><br>Time is out of joint. The summer of peace and plenty, ten years long, is drawing to a close, and the harsh, chill winter approaches like an angry beast. Two great leaders—Lord Eddard Stark and Robert Baratheon—who held sway over an age of enforced peace are dead...victims of royal treachery. Now, from the ancient citadel of Dragonstone to the forbidding shores of Winterfell, chaos reigns, as pretenders to the Iron Throne of the Seven Kingdoms prepare to stake their claims through tempest, turmoil, and war. <br><br>As a prophecy of doom cuts across the sky—a comet the color of blood and flame—six factions struggle for control of a divided land. Eddard's son Robb has declared himself King in the North. In the south, Joffrey, the heir apparent, rules in name only, victim of the scheming courtiers who teem over King's Landing. Robert's two brothers each seek their own dominion, while a disfavored house turns once more to conquest. And a continent away, an exiled queen, the Mother of Dragons, risks everything to lead her precious brood across a hard hot desert to win back the crown that is rightfully hers. <br><br>A Clash of Kings transports us into a magnificent, forgotten land of revelry and revenge, wizardry and wartime. It is a tale in which maidens cavort with madmen, brother plots against brother, and the dead rise to walk in the night. Here a princess masquerades as an orphan boy; a knight of the mind prepares a poison for a treacherous sorceress; and wild men descend from the Mountains of the Moon to ravage the countryside. <br><br>Against a backdrop of incest and fratricide, alchemy and murder, the price of glory may be measured in blood. And the spoils of victory may just go to the  men and women possessed of the coldest steel...and the coldest hearts. For when rulers clash, all of the land feels the tremors. <br><br>Audacious, inventive, brilliantly imagined, A Clash of Kings is a novel of dazzling beauty and boundless enchantment;a tale of pure excitement you will never forget."
Don't Go Back to School: A Handbook for Learning Anything,"","Here is a radical truth: school doesn’t have a monopoly on learning. More and more people are declining traditional education and college degrees. Instead they’re getting the knowledge, training, and inspiration they need outside of the classroom. Drawing on extensive research and over 100 interviews with independent learners, Kio Stark offers the ultimate guide to learning without school. Don’t Go Back to School provides models and methods for taking a new kind of path through learning, and transforming that alternative education into an exciting career path. This inspiring, practical guide provides concrete strategies and resources for getting started as an independent learner. If you’re debating whether college, trade school, or independent learning will get you where you want to be, Don’t Go Back to School is essential reading."
"A Storm of Swords (A Song of Ice and Fire, #3)",055357342X,"Here is the third volume in George R.R. Martin's magnificent cycle of novels that includes <em>A Game of Thrones</em> and <em>A Clash of Kings</em>.  Together, this series comprises a genuine masterpiece of modern fantasy, destined to stand as one of the great achievements of imaginative fiction.<br><br>Of the five contenders for power, one is dead, another in disfavor, and still the wars rage as alliances are made and broken.  Joffrey sits on the Iron Throne, the uneasy ruler of of the Seven Kingdoms. His most bitter rival, Lord Stannis, stands defeated and disgraced, victim of the sorceress who holds him in her thrall.  Young Robb still rules the North from the fortress of Riverrun.  Meanwhile, making her way across a blood-drenched continent is the exiled queen, Daenerys, mistress of the only three dragons still left in the world.  And as opposing forces manoeuver for the final showdown, an army of barbaric wildlings arrives from the outermost limits of civilization, accompanied by a horde of mythical Others—a supernatural army of the living dead whose animated corpses are unstoppable. As the future of the land hangs in the balance, no one will rest until the Seven Kingdoms have exploded in a veritable storm of swords..."
The Art of Possibility: Transforming Professional and Personal Life,0142001104,"Presenting twelve breakthrough practices for bringing creativity into all human endeavors, The Art of Possibility is the dynamic product of an extraordinary partnership. The Art of Possibility combines Benjamin Zander's experience as conductor of the Boston Philharmonic and his talent as a teacher and communicator with psychotherapist Rosamund Stone Zander's genius for designing innovative paradigms for personal and professional fulfillment. The authors' harmoniously interwoven perspectives provide a deep sense of the powerful role that the notion of possibility can play in every aspect of life. Through uplifting stories, parables, and personal anecdotes, the Zanders invite us to become passionate communicators, leaders, and performers whose lives radiate possibility into the world"
"A Feast for Crows (A Song of Ice and Fire, #4)",055358202X,"With <em>A Feast for Crows</em>, Martin delivers the long-awaited fourth volume of the landmark series that has redefined imaginative fiction and stands as a modern masterpiece in the making.<br><br>After centuries of bitter strife, the seven powers dividing the land have beaten one another into an uneasy truce. But it's not long before the survivors, outlaws, renegades, and carrion eaters of the Seven Kingdoms gather. Now, as the human crows assemble over a banquet of ashes, daring new plots and dangerous new alliances are formed while surprising faces—some familiar, others only just appearing—emerge from an ominous twilight of past struggles and chaos to take up the challenges of the terrible times ahead. Nobles and commoners, soldiers and sorcerers, assassins and sages, are coming together to stake their fortunes...and their lives. For at a feast for crows, many are the guests—but only a few are the survivors."
Attempting Normal,0812992873,"<strong>NATIONAL BESTSELLER</strong><br><br><em>People make a mess.</em><br><strong> </strong><br> Marc Maron was a parent-scarred, angst-filled, drug-dabbling, love-starved comedian who dreamed of a simple life: a wife, a home, a sitcom to call his own. But instead he woke up one day to find himself fired from his radio job, surrounded by feral cats, and emotionally and financially annihilated by a divorce from a woman he thought he loved. He tried to heal his broken heart through whatever means he could find—minor-league hoarding, Viagra addiction, accidental racial profiling, cat fancying, flying airplanes with his mind—but nothing seemed to work. It was only when he was stripped down to nothing that he found his way back.<br>  <br><em>Attempting Normal</em> is Marc Maron’s journey through the wilderness of his own mind, a collection of explosively, painfully, addictively funny stories that add up to a moving tale of hope and hopelessness, of failing, flailing, and finding a way. From standup to television to his outrageously popular podcast, <em>WTF with Marc Maron,</em> Marc has always been a genuine original, a disarmingly honest, intensely smart, brutally open comic who finds wisdom in the strangest places. This is his story of the winding, potholed road from madness and obsession and failure to something like normal, the thrillingly comic journey of a sympathetic f***up who’s trying really hard to do better without making a bigger mess. Most of us will relate.<br><br><strong>Praise for <em>Attempting Normal</em></strong><br><strong><em> </em></strong><br> “I laughed so hard reading this book.”<strong>—David Sedaris</strong><br>  <br> “Funny . . . surprisingly deep . . . laced with revelatory insights.”<strong><em>—Los Angeles Times</em></strong><br>  <br> “Superb . . . A reason that [it] is a superior example of an overcrowded genre—the comedian memoir—is Mr. Maron’s hardheaded approach to his history, the wisdom of experience.”<strong>—<em>The New York Times</em></strong><br>  <br> “Marc Maron is a legend because he is both a great comic and a brilliant mind. <em>Attempting Normal</em> is a deep, hilarious megashot of feeling and truth as only this man can administer.”<strong>—Sam Lipsyte</strong><br>  <br><strong>Praise for Marc Maron and <em>WTF</em></strong><br><strong> </strong><br>“The stuff of comedy legend.”<strong>—<em>Rolling Stone </em></strong><br> <br>“Marc Maron is a startlingly honest, compelling, and hilarious comedian-poet. Truly one of the greatest of all time.”<strong>—Louis C.K.</strong><br>  <br> “I’ve known Marc for years and I can tell you first hand that he’s passionate, fearless, honest, self-absorbed, neurotic, and screamingly funny.”<strong>—David Cross</strong><br>  <br>“Revered among his peers . . . raw and unflinchingly honest.”<strong>—<em>Entertainment Weekly</em></strong><br><br>“Devastatingly funny.”<strong>—<em>Los Angeles Times</em></strong><br><em> </em><br> “For a comedy nerd, this show is nirvana.”<strong>—Judd Apatow</strong>"
Einstein: His Life and Universe,0743264738,"By the author of the acclaimed bestsellers <em>Benjamin Franklin </em>and <em>Steve Jobs</em>, this is the definitive biography of Albert Einstein.<strong> </strong><br><br>How did his mind work? What made him a genius? Isaacson&amp;#8217;s biography shows how his scientific imagination sprang from the rebellious nature of his personality. His fascinating story is a testament to the connection between creativity and freedom.<br><br> Based on newly released personal letters of Einstein, this book explores how an imaginative, impertinent patent clerk&amp;#8212;a struggling father in a difficult marriage who couldn&amp;#8217;t get a teaching job or a doctorate&amp;#8212;became the mind reader of the creator of the cosmos, the locksmith of the mysteries of the atom, and the universe. His success came from questioning conventional wisdom and marveling at mysteries that struck others as mundane. This led him to embrace a morality and politics based on respect for free minds, free spirits, and free individuals.<br><br> These traits are just as vital for this new century of globalization, in which our success will depend on our creativity, as they were for the beginning of the last century, when Einstein helped usher in the modern age."
Cooked: A Natural History of Transformation,1594204217,"<strong><em>Fire, water, air, earth—our most trusted food expert recounts the story of his culinary education</em></strong><br><br> In <em>Cooked</em>, Michael Pollan explores the previously uncharted territory of his own kitchen. Here, he discovers the enduring power of the four classical elements—fire, water, air, and earth—to transform the stuff of nature into delicious things to eat and drink. Apprenticing himself to a succession of culinary masters, Pollan learns how to grill with fire, cook with liquid, bake bread, and ferment everything from cheese to beer. In the course of his journey, he discovers that the cook occupies a special place in the world, standing squarely between nature and culture. Both realms are transformed by cooking, and so, in the process, is the cook.<br><br> Each section of <em>Cooked</em> tracks Pollan’s effort to master a single classic recipe using one of the four elements. A North Carolina barbecue pit master tutors him in the primal magic of fire; a Chez Panisse–trained cook schools him in the art of braising; a celebrated baker teaches him how air transforms grain and water into a fragrant loaf of bread; and finally, several mad-genius “fermentos” (a tribe that includes brewers, cheese makers, and all kinds of picklers) reveal how fungi and bacteria can perform the most amazing alchemies of all. The reader learns alongside Pollan, but the lessons move beyond the practical to become an investigation of how cooking involves us in a web of social and ecological relationships: with plants and animals, the soil, farmers, our history and culture, and, of course, the people our cooking nourishes and delights. Cooking, above all, connects us.<br><br> The effects of not cooking are similarly far reaching. Relying upon corporations to process our food means we consume huge quantities of fat, sugar, and salt; disrupt an essential link to the natural world; and weaken our relationships with family and friends. In fact, <em>Cooked</em> argues, taking back control of cooking may be the single most important step anyone can take to help make the American food system healthier and more sustainable. Reclaiming cooking as an act of enjoyment and self-reliance, learning to perform the magic of these everyday transformations, opens the door to a more nourishing life.<br><br><br>"
"A Dance with Dragons (A Song of Ice and Fire, #5)","","In the aftermath of a colossal battle, the future of the Seven Kingdoms hangs in the balance — beset by newly emerging threats from every direction. In the east, Daenerys Targaryen, the last scion of House Targaryen, rules with her three dragons as queen of a city built on dust and death. But Daenerys has thousands of enemies, and many have set out to find her. As they gather, one young man embarks upon his own quest for the queen, with an entirely different goal in mind.<br><br>Fleeing from Westeros with a price on his head, Tyrion Lannister, too, is making his way to Daenerys. But his newest allies in this quest are not the rag-tag band they seem, and at their heart lies one who could undo Daenerys's claim to Westeros forever.<br><br>Meanwhile, to the north lies the mammoth Wall of ice and stone — a structure only as strong as those guarding it. There, Jon Snow, 998th Lord Commander of the Night's Watch, will face his greatest challenge. For he has powerful foes not only within the Watch but also beyond, in the land of the creatures of ice.<br><br>From all corners, bitter conflicts reignite, intimate betrayals are perpetrated, and a grand cast of outlaws and priests, soldiers and skinchangers, nobles and slaves, will face seemingly insurmountable obstacles. Some will fail, others will grow in the strength of darkness. But in a time of rising restlessness, the tides of destiny and politics will lead inevitably to the greatest dance of all.<br><br>"
Makers: The New Industrial Revolution,0307720950,"<em>Wired </em>magazine editor and bestselling author Chris Anderson takes you to the front lines of a new industrial revolution as today’s entrepreneurs, using open source design and 3-D printing, bring manufacturing to the desktop.  In an age of custom-fabricated, do-it-yourself product design and creation, the collective potential of a million garage tinkerers and enthusiasts is about to be unleashed, driving a resurgence of American manufacturing.  A generation of “Makers” using the Web’s innovation model will help drive the next big wave in the global economy, as the new technologies of digital design and rapid prototyping gives everyone the power to invent -- creating “the long tail of things”."
The Fault in Our Stars,0525478817,"Despite the tumor-shrinking medical miracle that has bought her a few years, Hazel has never been anything but terminal, her final chapter inscribed upon diagnosis. But when a gorgeous plot twist named Augustus Waters suddenly appears at Cancer Kid Support Group, Hazel's story is about to be completely rewritten.<br><br>Insightful, bold, irreverent, and raw, <em>The Fault in Our Stars</em> is award-winning author John Green's most ambitious and heartbreaking work yet, brilliantly exploring the funny, thrilling, and tragic business of being alive and in love."
The Personal MBA: Master the Art of Business,1591843529,"<strong>Master the fundamentals, hone your business instincts, and save a fortune in tuition. </strong><br><br>The consensus is clear: MBA programs are a waste of time and money. Even the elite schools offer outdated assembly-line educations about profit-and-loss statements and PowerPoint presentations. After two years poring over sanitized case studies, students are shuffled off into middle management to find out how business <em>really</em> works.<br><br>Josh Kaufman has made a business out of distilling the core principles of business and delivering them quickly and concisely to people at all stages of their careers. His blog has introduced hundreds of thousands of readers to the best business books and most powerful business concepts of all time. In <em>The Personal MBA</em>, he shares the essentials of sales, marketing, negotiation, strategy, and much more.<br><br>True leaders aren't made by business schools-they make themselves, seeking out the knowledge, skills, and experiences they need to succeed. Read this book and in one week you will learn the principles it takes most people a lifetime to master."
The First 20 Hours: How to Learn Anything...Fast,1591845556,"<strong>Forget the 10,000 hour rule— what if it’s possible to learn the basics of any new skill in 20 hours or less?</strong><br> <br>Take a moment to consider how many things you want to learn to do. What’s on your list? What’s holding you back from getting started? Are you worried about the time and effort it takes to acquire new skills—time you don’t have and effort you can’t spare?<br> <br>Research suggests it takes 10,000 hours to develop a new skill. In this nonstop world when will you ever find that much time and energy? To make matters worse, the early hours of prac­ticing something new are always the most frustrating. That’s why it’s difficult to learn how to speak a new language, play an instrument, hit a golf ball, or shoot great photos. It’s so much easier to watch TV or surf the web . . .<br> <br>In <em>The First 20 Hours</em>, Josh Kaufman offers a systematic approach to rapid skill acquisition— how to learn any new skill as quickly as possible. His method shows you how to deconstruct com­plex skills, maximize productive practice, and remove common learning barriers. By complet­ing just 20 hours of focused, deliberate practice you’ll go from knowing absolutely nothing to performing noticeably well.<br> <br>Kaufman personally field-tested the meth­ods in this book. You’ll have a front row seat as he develops a personal yoga practice, writes his own web-based computer programs, teaches himself to touch type on a nonstandard key­board, explores the oldest and most complex board game in history, picks up the ukulele, and learns how to windsurf. Here are a few of the sim­ple techniques he teaches:<br>Define your target performance level: Fig­ure out what your desired level of skill looks like, what you’re trying to achieve, and what you’ll be able to do when you’re done. The more specific, the better.<br>Deconstruct the skill: Most of the things we think of as skills are actually bundles of smaller subskills. If you break down the subcompo­nents, it’s easier to figure out which ones are most important and practice those first.<br>Eliminate barriers to practice: Removing common distractions and unnecessary effort makes it much easier to sit down and focus on deliberate practice.<br>Create fast feedback loops: Getting accu­rate, real-time information about how well you’re performing during practice makes it much easier to improve.<br>Whether you want to paint a portrait, launch a start-up, fly an airplane, or juggle flaming chain­saws, <em>The First 20 Hours </em>will help you pick up the basics of any skill in record time . . . and have more fun along the way."
Snow Crash,0553380958,"In reality, Hiro Protagonist delivers pizza for Uncle Enzo’s CosoNostra Pizza Inc., but in the Metaverse he’s a warrior prince. Plunging headlong into the enigma of a new computer virus that’s striking down hackers everywhere, he races along the neon-lit streets on a search-and-destroy mission for the shadowy virtual villain threatening to bring about infocalypse. Snow Crash is a mind-altering romp through a future America so bizarre, so outrageous…you’ll recognize it immediately."
The Art of War,1590302257,"Conflict is an inevitable part of life, according to this ancient Chinese classic of strategy, but everything necessary to deal with conflict wisely, honorably, victoriously, is already present within us. Compiled more than two thousand years ago by a mysterious warrior-philosopher, <em>The Art of War </em> is still perhaps the most prestigious and influential book of strategy in the world, as eagerly studied in Asia by modern politicians and executives as it has been by military leaders since ancient times. As a study of the anatomy of organizations in conflict, <em>The Art of War </em> applies to competition and conflict in general, on every level from the interpersonal to the international. Its aim is invincibility, victory without battle, and unassailable strength through understanding the physics, politics, and psychology of conflict.<br><br>(Original publish date was circa 500 BCE.)<br><br>For an outstanding kindle edition, please refer to The Art of War by Sun Tzu - Classic Collector's Edition (Shawn Conners, Barton Williams, Lionel Giles, Sian Kim)"
Confessions of a Public Speaker,0596801998,"In this hilarious and highly practical book, author and professional speaker Scott Berkun reveals the techniques behind what great communicators do, and shows how anyone can learn to use them well. For managers and teachers -- and anyone else who talks and expects someone to listen -- <em>Confessions of a Public Speaker</em> provides an insider's perspective on how to effectively present ideas to anyone. It's a unique, entertaining, and instructional romp through the embarrassments and triumphs Scott has experienced over 15 years of speaking to crowds of all sizes.<br><br>With lively lessons and surprising confessions, you'll get new insights into the art of persuasion -- as well as teaching, learning, and performance -- directly from a master of the trade.<br><br>Highlights include:<br><br><br><br><strong>Berkun's hard-won and simple philosophy</strong>, culled from years of lectures, teaching courses, and hours of appearances on NPR, MSNBC, and CNBC<br><br><strong>Practical advice</strong>, including how to work a tough room, the science of not boring people, how to survive the attack of the butterflies, and what to do when things go wrong<br><br><strong>The inside scoop</strong> on who earns $30,000 for a one-hour lecture and why<br><br><strong>The worst -- and funniest -- disaster stories</strong> you've ever heard (plus countermoves you can use)<br>Filled with humorous and illuminating stories of thrilling performances and real-life disasters, <em>Confessions of a Public Speaker</em> is inspirational, devastatingly honest, and a blast to read."
The Tao of Pooh,1405204265,"The Wisdom of Pooh.<br><br>Is there such thing as a Western Taoist? Benjamin Hoff says there is, and this Taoist's favorite food is honey. Through brilliant and witty dialogue with the beloved Pooh-bear and his companions, the author of this smash bestseller explains with ease and aplomb that rather than being a distant and mysterious concept, Taoism is as near and practical to us as our morning breakfast bowl. <br><br>Romp through the enchanting world of Winnie-the-Pooh while soaking up invaluable lessons on simplicity and natural living."
So Good They Can't Ignore You: Why Skills Trump Passion in the Quest for Work You Love,1455509108,"In this eye-opening account, Cal Newport debunks the long-held belief that ""follow your passion"" is good advice. <br> Not only is the cliché flawed-preexisting passions are rare and have little to do with how most people end up loving their work-but it can also be dangerous, leading to anxiety and chronic job hopping.<br> After making his case against passion, Newport sets out on a quest to discover the reality of how people end up loving what they do. Spending time with organic farmers, venture capitalists, screenwriters, freelance computer programmers, and others who admitted to deriving great satisfaction from their work, Newport uncovers the strategies they used and the pitfalls they avoided in developing their compelling careers. <br> Matching your job to a preexisting passion does not matter, he reveals. Passion comes after you put in the hard work to become excellent at something valuable, not before. <br> In other words, what you do for a living is much less important than how you do it.<br> With a title taken from the comedian Steve Martin, who once said his advice for aspiring entertainers was to ""be so good they can't ignore you,"" Cal Newport's clearly written manifesto is mandatory reading for anyone fretting about what to do with their life, or frustrated by their current job situation and eager to find a fresh new way to take control of their livelihood. He provides an evidence-based blueprint for creating work you love.<br> SO GOOD THEY CAN'T IGNORE YOU will change the way we think about our careers, happiness, and the crafting of a remarkable life.<br><br>"
"Lean In: Women, Work, and the Will to Lead",0385349947,"Lean In--Sheryl Sandberg's provocative, inspiring book about women and power--grew out of an electrifying TED talk Sandberg gave in 2010, in which she expressed her concern that progress for women in achieving major leadership positions had stalled. The talk became a phenomenon and has since been viewed nearly two million times. In Lean In, she fuses humorous personal anecdotes, singular lessons on confidence and leadership, and practical advice for women based on research, data, her own experiences, and the experiences of other women of all ages. Sandberg has an uncanny gift for cutting through layers of ambiguity that surround working women, and in Lean In she grapples, piercingly, with the great questions of modern life. Her message to women is overwhelmingly positive. She is a trailblazing model for the ideas she so passionately espouses, and she's on the pulse of a topic that has never been more relevant."
